id,date,time,day,city,area,area_type,weather,crime_type,risk_score,risk_level,latitude,longitude,narrative
1,2023-09-08,07:15,Friday,Mumbai,Andheri,Residential,Clear,Burglary,54.3,Medium,19.0264,72.8683,"A house burglary was reported in a residential complex in Andheri, Mumbai while occupants were away."
2,2024-09-08,00:15,Sunday,Mumbai,Borivali,Commercial,Foggy,Robbery,48.8,Medium,19.1131,72.8185,"A robbery was reported near Borivali, Mumbai — valuables snatched from a pedestrian."
3,2023-08-09,10:00,Wednesday,Kolkata,Esplanade,Commercial,Clear,Robbery,25.4,Low,22.5539,88.3356,"A robbery was reported near Esplanade, Kolkata — valuables snatched from a pedestrian."
4,2024-01-23,02:30,Tuesday,Ahmedabad,Satellite,Educational,Rainy,Others,63.2,Medium,22.968,72.5387,"A minor altercation/disturbance was reported near an institution in Satellite, Ahmedabad."
5,2023-04-14,12:30,Friday,Mumbai,Borivali,Commercial,Foggy,Robbery,44.4,Medium,19.0604,72.8428,"An armed robbery incident was reported at a shop in Borivali, Mumbai."
6,2023-09-08,05:45,Friday,Mumbai,Bandra,Residential,Foggy,Others,44.1,Medium,19.0986,72.8441,"A minor altercation/disturbance was reported near an institution in Bandra, Mumbai."
7,2023-11-20,12:30,Monday,Bangalore,Whitefield,Industrial,Clear,Others,33.1,Medium,13.0168,77.5724,"A minor altercation/disturbance was reported near an institution in Whitefield, Bangalore."
8,2023-05-23,07:30,Tuesday,Kolkata,Dum Dum,Commercial,Foggy,Robbery,32.2,Low,22.5389,88.4236,"A chain/bag-snatching robbery was reported on the main road in Dum Dum, Kolkata."
9,2023-02-18,03:15,Saturday,Ahmedabad,Satellite,Educational,Cloudy,Assault,68.4,High,22.9701,72.5572,"A physical assault was reported near a public gathering spot in Satellite, Ahmedabad."
10,2023-01-12,21:00,Thursday,Jaipur,Mansarovar,Educational,Rainy,Assault,61.5,Medium,26.8876,75.7463,"An assault case was reported following an altercation in Mansarovar, Jaipur."
11,2023-04-19,20:30,Wednesday,Hyderabad,Secunderabad,Residential,Cloudy,Burglary,37.8,Medium,17.3897,78.5201,"A house burglary was reported in a residential complex in Secunderabad, Hyderabad while occupants were away."
12,2023-04-25,11:30,Tuesday,Lucknow,Chowk,Residential,Cloudy,Burglary,39.5,Medium,26.9003,80.8965,"Forced entry and burglary was reported at a residence in Chowk, Lucknow."
13,2023-05-12,21:45,Friday,Mumbai,Bandra,Residential,Cloudy,Burglary,51.2,Medium,19.0668,72.8431,"A house burglary was reported in a residential complex in Bandra, Mumbai while occupants were away."
14,2024-10-27,11:45,Sunday,Hyderabad,Kukatpally,Educational,Foggy,Assault,31.9,Low,17.3656,78.4973,"An assault case was reported following an altercation in Kukatpally, Hyderabad."
15,2024-12-25,20:00,Wednesday,Lucknow,Indira Nagar,Commercial,Cloudy,Robbery,42.5,Medium,26.8264,80.9479,"An armed robbery incident was reported at a shop in Indira Nagar, Lucknow."
16,2024-08-07,18:45,Wednesday,Ahmedabad,Vastrapur,Residential,Cloudy,Burglary,60.6,Medium,22.9853,72.523,"Forced entry and burglary was reported at a residence in Vastrapur, Ahmedabad."
17,2023-02-25,21:00,Saturday,Pune,Aundh,Residential,Clear,Burglary,35.5,Medium,18.5638,73.8265,"A house burglary was reported in a residential complex in Aundh, Pune while occupants were away."
18,2023-07-07,08:45,Friday,Jaipur,Jagatpura,Commercial,Cloudy,Robbery,52.9,Medium,26.9494,75.83,"A robbery was reported near Jagatpura, Jaipur — valuables snatched from a pedestrian."
19,2023-08-31,05:45,Thursday,Bangalore,MG Road,Educational,Foggy,Others,56.8,Medium,13.0199,77.5544,"A miscellaneous public-nuisance/disturbance case was reported in MG Road, Bangalore."
20,2024-04-10,09:45,Wednesday,Kolkata,New Town,Educational,Foggy,Assault,16.1,Low,22.6288,88.3734,"An assault case was reported following an altercation in New Town, Kolkata."
21,2024-05-03,16:15,Friday,Pune,Koregaon Park,Commercial,Clear,Robbery,43.3,Medium,18.4827,73.8681,"A chain/bag-snatching robbery was reported on the main road in Koregaon Park, Pune."
22,2024-08-06,07:00,Tuesday,Chennai,Mylapore,Commercial,Clear,Theft,37.8,Medium,13.0854,80.3229,"A theft case was reported in Mylapore, Chennai — a two-wheeler was stolen from a parking area."
23,2023-05-15,21:30,Monday,Pune,Kothrud,Commercial,Foggy,Theft,35.3,Medium,18.4691,73.8517,"A shop reported theft of goods overnight in Kothrud, Pune."
24,2024-06-02,08:15,Sunday,Mumbai,Dadar,Residential,Rainy,Burglary,58.8,Medium,19.0603,72.8366,"Forced entry and burglary was reported at a residence in Dadar, Mumbai."
25,2024-07-21,09:00,Sunday,Lucknow,Hazratganj,Residential,Cloudy,Burglary,44.2,Medium,26.8758,80.9049,"Forced entry and burglary was reported at a residence in Hazratganj, Lucknow."
26,2023-12-18,06:30,Monday,Lucknow,Indira Nagar,Commercial,Foggy,Burglary,38.5,Medium,26.7928,80.9623,"Forced entry and burglary was reported at a residence in Indira Nagar, Lucknow."
27,2023-12-08,04:30,Friday,Bangalore,MG Road,Educational,Cloudy,Others,62.4,Medium,12.9629,77.5358,"A miscellaneous public-nuisance/disturbance case was reported in MG Road, Bangalore."
28,2024-08-19,17:15,Monday,Delhi,Connaught Place,Industrial,Foggy,Theft,81.5,High,28.752,77.138,"A theft case was reported in Connaught Place, Delhi — a two-wheeler was stolen from a parking area."
29,2024-11-29,07:00,Friday,Pune,Kothrud,Commercial,Rainy,Burglary,38.8,Medium,18.5092,73.8712,"A house burglary was reported in a residential complex in Kothrud, Pune while occupants were away."
30,2023-07-01,13:00,Saturday,Chennai,Velachery,Educational,Cloudy,Assault,49.7,Medium,13.1344,80.307,"An assault case was reported following an altercation in Velachery, Chennai."
31,2024-12-19,03:45,Thursday,Hyderabad,Secunderabad,Residential,Clear,Assault,51.9,Medium,17.423,78.4819,"A physical assault was reported near a public gathering spot in Secunderabad, Hyderabad."
32,2023-07-17,12:30,Monday,Chennai,Adyar,Commercial,Rainy,Others,47.8,Medium,13.0562,80.2877,"A minor altercation/disturbance was reported near an institution in Adyar, Chennai."
33,2023-04-29,08:15,Saturday,Jaipur,Sanganer,Educational,Rainy,Others,48.1,Medium,26.8939,75.8217,"A minor altercation/disturbance was reported near an institution in Sanganer, Jaipur."
34,2024-08-13,06:30,Tuesday,Lucknow,Gomti Nagar,Commercial,Clear,Robbery,40.9,Medium,26.8978,80.9508,"A chain/bag-snatching robbery was reported on the main road in Gomti Nagar, Lucknow."
35,2024-11-11,10:30,Monday,Chennai,Tambaram,Residential,Clear,Assault,46.3,Medium,13.0598,80.2597,"A physical assault was reported near a public gathering spot in Tambaram, Chennai."
36,2023-07-16,13:45,Sunday,Hyderabad,Secunderabad,Residential,Cloudy,Assault,40.4,Medium,17.3908,78.4267,"A physical assault was reported near a public gathering spot in Secunderabad, Hyderabad."
37,2024-08-16,19:30,Friday,Chennai,Mylapore,Commercial,Foggy,Theft,53.7,Medium,13.084,80.3059,"A shop reported theft of goods overnight in Mylapore, Chennai."
38,2024-11-10,20:30,Sunday,Delhi,Karol Bagh,Commercial,Clear,Theft,84.4,High,28.7248,77.0695,"A theft case was reported in Karol Bagh, Delhi — a two-wheeler was stolen from a parking area."
39,2023-02-17,07:45,Friday,Delhi,Connaught Place,Industrial,Clear,Assault,74.9,High,28.7132,77.1287,"A physical assault was reported near a public gathering spot in Connaught Place, Delhi."
40,2024-11-02,22:00,Saturday,Ahmedabad,Chandkheda,Commercial,Clear,Robbery,69.1,High,23.059,72.5949,"An armed robbery incident was reported at a shop in Chandkheda, Ahmedabad."
41,2023-05-05,14:15,Friday,Bangalore,Whitefield,Industrial,Foggy,Others,46.3,Medium,12.9831,77.6486,"A minor altercation/disturbance was reported near an institution in Whitefield, Bangalore."
42,2024-07-15,14:15,Monday,Lucknow,Aminabad,Industrial,Foggy,Theft,45.0,Medium,26.8875,80.9195,"A shop reported theft of goods overnight in Aminabad, Lucknow."
43,2023-10-09,14:00,Monday,Ahmedabad,Vastrapur,Residential,Rainy,Burglary,45.6,Medium,23.0697,72.5211,"A house burglary was reported in a residential complex in Vastrapur, Ahmedabad while occupants were away."
44,2024-12-11,04:15,Wednesday,Chennai,Mylapore,Commercial,Clear,Robbery,37.8,Medium,13.0786,80.2182,"An armed robbery incident was reported at a shop in Mylapore, Chennai."
